mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Depression,Broken,Broken,Lund,2BmCen4Ww7ps0EBbobxWsH,2016-10-25,0,200627,0.828,0.0423,0.581,0.000903,0.109,0.145,-2.659,0.0429,133.999,0,4
Depression,Low,Low,Lund,46za9pKXWkesH9DCrBbtNU,2018-04-28,0,233962,0.746,0.689,0.438,0.103,0.126,0.042,-7.016,0.0326,119.991,4,4
Depression,Me and You,More Than Music,Ollie,3iJEtmYCQHeUv0hQgHEPTN,2017-10-27,39,232851,0.771,0.564,0.464,0.0,0.111,0.305,-12.335,0.163,100.083,3,4
Depression,Worried,Natsukashii,SadBoyProlific,7J0aVprIHC5OHCYLYYZKOC,2018-12-24,2,122070,0.479,0.965,0.278,2.11e-05,0.104,0.663,-15.61,0.399,175.192,0,5
Depression,Lie,Perception,NF,07FkzikE6FuHIa8Ma7zJGc,2017-10-06,76,209213,0.513,0.161,0.661,0.0,0.246,0.179,-6.419,0.24,94.791,5,4
Depression,It's Not Me It's You,Lost - EP,Ollie,5jhwDKJGsmVsaqQjt0pi7H,2019-03-06,29,188385,0.73,0.0481,0.578,0.0,0.0744,0.5,-7.663,0.266,90.173,9,4
Depression,Blow My Phone Up,Blow My Phone Up,SadBoyProlific,2sYIV6KBonwGhNlHSnMClb,2018-11-10,45,133407,0.786,0.843,0.34,0.0,0.106,0.294,-13.642,0.452,73.998,8,3
Depression,World Without You,Sincerely Adolescence,Blai$y,0Qj2Mf1p69Brx9GVFNRnIT,2017-10-12,18,106695,0.703,0.645,0.34,0.0071,0.106,0.0992,-14.309,0.209,107.943,7,4
Depression,Novocaine,Another Memory,DempseyRollBoy,7v6heKHKAa98BEVyn4x8sr,2019-08-16,0,149670,0.622,0.0239,0.794,0.0,0.171,0.309,-8.491,0.562,182.019,11,4
Depression,21 Sadness,4THEHOMIES,mike.,2WWz6bkIauK3vnjS0KKn4u,2018-11-12,48,155791,0.768,0.188,0.411,0.0,0.108,0.384,-12.181,0.0414,94.032,9,4
Depression,Monday Mourning,Monday Mourning,Drex Carter,10V96IBSJJjZPAS4fcKEmn,2018-05-14,56,120000,0.767,0.595,0.537,0.0,0.0862,0.632,-7.783,0.116,87.497,5,4
Depression,Can't Love Myself,Can't Love Myself,Monty Datta,0MO1qNhm8aRZchi8CJlIRo,2018-02-16,70,122723,0.541,0.913,0.0836,0.00199,0.126,0.452,-12.663,0.313,181.032,1,4
Depression,WHY AM I Waiting,Thbk,Papithbk,47QVAwFA8lGN4xRpT2ireK,2018-10-24,2,95555,0.861,0.274,0.398,0.0,0.27,0.248,-10.159,0.362,126.197,5,4
Depression,I Watched Her Leave,The Great Forest,Alrahim Wright III,3gRIWJ9q4ZmuWILpyCKl8g,2019-07-06,2,176587,0.478,0.322,0.484,0.0,0.515,0.434,-12.221,0.572,81.383,2,4
Depression,Feel Something,Feel Something,Thomas Reid,69ePYRzwQIVynhGb2R0GAm,2020-02-20,47,86709,0.518,0.633,0.623,0.0,0.103,0.236,-8.936,0.424,81.99,9,4
Depression,,,Various Artists,3ixmmYXzsJgiY6hP81LQr0,0000,0,0,0.659,0.921,0.349,0.0,0.13,0.121,-12.922,0.0801,103.824,1,4
Depression,Lucid,Lucid,Thomas Reid,3Tl3DgI4HMQlQ4VqS8kG3H,2020-10-16,34,126111,0.785,0.282,0.679,0.0,0.271,0.652,-7.725,0.201,107.976,9,4
Depression,,,Various Artists,4LPWmiQA26WWIN6KK0dqmR,0000,0,0,0.667,0.515,0.468,0.0,0.115,0.392,-8.158,0.0397,124.945,2,4
Depression,Midnight Thoughts,Midnight Thoughts,SadBoyProlific,19NEYj0nF2FHMr9X2HYxQd,2018-11-27,10,124891,0.703,0.416,0.39,0.0,0.178,0.624,-16.091,0.454,79.884,2,4
Depression,People Change,People Change,Kodie Osborne,3tQXcgANtsWFikbevMflJy,2018-09-10,52,112000,0.693,0.71,0.402,2.11e-06,0.368,0.373,-12.591,0.414,118.796,9,4
Depression,Carry On,17,XXXTENTACION,2yZax79pOrYuyIFVW2cZY2,2017-08-25,75,129720,0.735,0.768,0.197,0.000276,0.296,0.383,-13.378,0.537,147.899,3,4
Depression,Forever,Forever,ilyTOMMY,7uHRKSQ9WIlBBuBY7BHcbq,2019-03-08,71,108695,0.613,0.678,0.339,0.0,0.166,0.292,-14.908,0.135,106.582,5,5
Depression,Hopeless,Hopeless,SadBoyProlific,4g961nx81RWUkg61J6UuG9,2019-03-28,47,155141,0.752,0.298,0.613,0.0,0.259,0.72,-6.721,0.224,85.903,11,4
